select,columns,from,table
select,name,from,wines
select,year,from,wines
select,"name, year",from,wines
select,grapes,from,wines
select,"name, grapes",from,wines
select,"year, grapes",from,wines
select,"name, year, grapes",from,wines
select,country,from,wines
select,"name, country",from,wines
select,"year, country",from,wines
select,"name, year, country",from,wines
select,"grapes, country",from,wines
select,"name, grapes, country",from,wines
select,"year, grapes, country",from,wines
select,"name, year, grapes, country",from,wines
select,region,from,wines
select,"name, region",from,wines
select,"year, region",from,wines
select,"name, year, region",from,wines
select,"grapes, region",from,wines
select,"name, grapes, region",from,wines
select,"year, grapes, region",from,wines
select,"name, year, grapes, region",from,wines
select,"country, region",from,wines
select,"name, country, region",from,wines
select,"year, country, region",from,wines
select,"name, year, country, region",from,wines
select,"grapes, country, region",from,wines
select,"name, grapes, country, region",from,wines
select,"year, grapes, country, region",from,wines
select,"name, year, grapes, country, region",from,wines
select,picture,from,wines
select,"name, picture",from,wines
select,"year, picture",from,wines
select,"name, year, picture",from,wines
select,"grapes, picture",from,wines
select,"name, grapes, picture",from,wines
select,"year, grapes, picture",from,wines
select,"name, year, grapes, picture",from,wines
select,"country, picture",from,wines
select,"name, country, picture",from,wines
select,"year, country, picture",from,wines
select,"name, year, country, picture",from,wines
select,"grapes, country, picture",from,wines
select,"name, grapes, country, picture",from,wines
select,"year, grapes, country, picture",from,wines
select,"name, year, grapes, country, picture",from,wines
select,"region, picture",from,wines
select,"name, region, picture",from,wines
select,"year, region, picture",from,wines
select,"name, year, region, picture",from,wines
select,"grapes, region, picture",from,wines
select,"name, grapes, region, picture",from,wines
select,"year, grapes, region, picture",from,wines
select,"name, year, grapes, region, picture",from,wines
select,"country, region, picture",from,wines
select,"name, country, region, picture",from,wines
select,"year, country, region, picture",from,wines
select,"name, year, country, region, picture",from,wines
select,"grapes, country, region, picture",from,wines
select,"name, grapes, country, region, picture",from,wines
select,"year, grapes, country, region, picture",from,wines
select,"name, year, grapes, country, region, picture",from,wines
select,description,from,wines
select,"name, description",from,wines
select,"year, description",from,wines
select,"name, year, description",from,wines
select,"grapes, description",from,wines
select,"name, grapes, description",from,wines
select,"year, grapes, description",from,wines
select,"name, year, grapes, description",from,wines
select,"country, description",from,wines
select,"name, country, description",from,wines
select,"year, country, description",from,wines
select,"name, year, country, description",from,wines
select,"grapes, country, description",from,wines
select,"name, grapes, country, description",from,wines
select,"year, grapes, country, description",from,wines
select,"name, year, grapes, country, description",from,wines
select,"region, description",from,wines
select,"name, region, description",from,wines
select,"year, region, description",from,wines
select,"name, year, region, description",from,wines
select,"grapes, region, description",from,wines
select,"name, grapes, region, description",from,wines
select,"year, grapes, region, description",from,wines
select,"name, year, grapes, region, description",from,wines
select,"country, region, description",from,wines
select,"name, country, region, description",from,wines
select,"year, country, region, description",from,wines
select,"name, year, country, region, description",from,wines
select,"grapes, country, region, description",from,wines
select,"name, grapes, country, region, description",from,wines
select,"year, grapes, country, region, description",from,wines
select,"name, year, grapes, country, region, description",from,wines
select,"description, picture",from,wines
select,"name, description, picture",from,wines
select,"year, description, picture",from,wines
select,"name, year, description, picture",from,wines
select,"grapes, description, picture",from,wines
select,"name, grapes, description, picture",from,wines
select,"year, grapes, description, picture",from,wines
select,"name, year, grapes, description, picture",from,wines
select,"country, description, picture",from,wines
select,"name, country, description, picture",from,wines
select,"year, country, description, picture",from,wines
select,"name, year, country, description, picture",from,wines
select,"grapes, country, description, picture",from,wines
select,"name, grapes, country, description, picture",from,wines
select,"year, grapes, country, description, picture",from,wines
select,"name, year, grapes, country, description, picture",from,wines
select,"region, description, picture",from,wines
select,"name, region, description, picture",from,wines
select,"year, region, description, picture",from,wines
select,"name, year, region, description, picture",from,wines
select,"grapes, region, description, picture",from,wines
select,"name, grapes, region, description, picture",from,wines
select,"year, grapes, region, description, picture",from,wines
select,"name, year, grapes, region, description, picture",from,wines
select,"country, region, description, picture",from,wines
select,"name, country, region, description, picture",from,wines
select,"year, country, region, description, picture",from,wines
select,"name, year, country, region, description, picture",from,wines
select,"grapes, country, region, description, picture",from,wines
select,"name, grapes, country, region, description, picture",from,wines
select,"year, grapes, country, region, description, picture",from,wines
select,"name, year, grapes, country, region, description, picture",from,wines
